
#ID Wavelength TransmissionQEFilter TransmissionFilter#

181 8420.0 0.025879 0.167842
182 8430.0 0.019836 0.129057
183 8440.0 0.015201 0.099222
184 8450.0 0.011689 0.076729
185 8460.0 0.009038 0.060050
186 8470.0 0.006973 0.046905
187 8480.0 0.005408 0.036832
188 8490.0 0.004275 0.029485
189 8500.0 0.003396 0.023725
190 8510.0 0.002698 0.019090
191 8520.0 0.002176 0.015599
192 8530.0 0.001812 0.013168
193 8540.0 0.001505 0.011085
194 8550.0 0.001166 0.008704
195 8560.0 0.000909 0.006883
196 8570.0 0.000715 0.005489
197 8580.0 0.000564 0.004397
198 8590.0 0.000449 0.003548
199 8600.0 0.000359 0.002883
200 8610.0 0.000289 0.002356
201 8620.0 0.000235 0.001943
202 8630.0 0.000193 0.001607
203 8640.0 0.000160 0.001335
204 8650.0 0.000133 0.001118
205 8660.0 0.000112 0.000940
206 8670.0 0.000094 0.000791
207 8680.0 0.000080 0.000674
208 8690.0 0.000068 0.000576
209 8700.0 0.000058 0.000492
210 8710.0 0.000050 0.000424
211 8720.0 0.000043 0.000366
212 8730.0 0.000037 0.000318
213 8740.0 0.000032 0.000278
214 8750.0 0.000028 0.000243
215 8760.0 0.000024 0.000213
216 8770.0 0.000021 0.000188
217 8780.0 0.000019 0.000166
218 8790.0 0.000016 0.000148
219 8800.0 0.000014 0.000132
220 8810.0 0.000013 0.000118
221 8820.0 0.000011 0.000106
222 8830.0 0.000010 0.000095
223 8831.0 0.000000 0.000000
