
#ID Wavelength TransmissionQEFilter TransmissionFilter#

181 5690.0 0.004355 0.005760
182 5700.0 0.003367 0.004465
183 5710.0 0.002632 0.003500
184 5720.0 0.002072 0.002764
185 5730.0 0.001638 0.002191
186 5740.0 0.001295 0.001737
187 5750.0 0.001019 0.001371
188 5760.0 0.000799 0.001078
189 5770.0 0.000628 0.000851
190 5780.0 0.000492 0.000669
191 5790.0 0.000389 0.000531
192 5800.0 0.000311 0.000425
193 5810.0 0.000250 0.000344
194 5820.0 0.000204 0.000282
195 5830.0 0.000169 0.000233
196 5840.0 0.000141 0.000196
197 5850.0 0.000121 0.000169
198 5860.0 0.000105 0.000147
199 5870.0 0.000092 0.000130
200 5880.0 0.000082 0.000116
201 5890.0 0.000073 0.000103
202 5891.0 0.000000 0.000000
