
#ID Wavelength TransmissionQEFilter TransmissionFilter#

181 7060.0 0.000863 0.002194
182 7070.0 0.000655 0.001678
183 7080.0 0.000501 0.001291
184 7090.0 0.000386 0.001002
185 7100.0 0.000302 0.000788
186 7110.0 0.000237 0.000622
187 7120.0 0.000188 0.000496
188 7130.0 0.000150 0.000399
189 7140.0 0.000120 0.000322
190 7150.0 0.000098 0.000263
191 7160.0 0.000080 0.000216
192 7170.0 0.000065 0.000179
193 7180.0 0.000054 0.000149
194 7190.0 0.000045 0.000124
195 7200.0 0.000038 0.000105
196 7210.0 0.000032 0.000089
197 7220.0 0.000027 0.000076
198 7230.0 0.000023 0.000065
199 7240.0 0.000019 0.000056
200 7250.0 0.000017 0.000048
201 7260.0 0.000014 0.000042
202 7270.0 0.000012 0.000036
203 7280.0 0.000011 0.000032
204 7290.0 0.000009 0.000028
205 7300.0 0.000008 0.000025
206 7310.0 0.000007 0.000021
207 7320.0 0.000006 0.000019
208 7321.0 0.000000 0.000000
