3146.63	0.0422121
3249.69	0.0346455
3360.12	0.0471385
3433.74	0.0772018
3470.55	0.0972491
3529.45	0.134842
3573.62	0.167425
3625.15	0.212545
3647.24	0.237614
3669.33	0.265191
3720.86	0.325358
3750.31	0.362963
3779.75	0.400568
3823.93	0.460738
3846.01	0.490823
3875.46	0.520904
3926.99	0.573547
3949.08	0.596109
3978.53	0.621175
4037.42	0.666291
4074.23	0.691354
4140.49	0.738975
4177.30	0.764038
4250.92	0.811656
4287.73	0.829196
4368.71	0.859256
4457.06	0.884298
4552.76	0.904320
4648.47	0.914312
4751.53	0.914269
4847.24	0.916736
4942.94	0.911681
5009.20	0.899114
5075.46	0.891563
5156.44	0.876482
5259.51	0.853868
5362.58	0.833762
5458.28	0.811152
5553.99	0.788541
5657.06	0.763420
5760.12	0.740806
5855.83	0.715688
5951.53	0.688062
6047.24	0.660435
6157.67	0.632803
6253.37	0.610193
6341.72	0.585077
6452.15	0.554937
6555.21	0.532323
6650.92	0.502189
6768.71	0.477062
6857.06	0.454454
6960.12	0.421809
7055.83	0.394183
7158.90	0.369062
7261.96	0.343940
7357.67	0.318822
7460.74	0.296208
7549.08	0.278616
7659.51	0.256000
7755.21	0.238405
7858.28	0.225823
7946.63	0.208231
8057.06	0.195646
8160.12	0.183063
8241.10	0.167982
8344.17	0.157908
8447.24	0.152849
8542.94	0.135254
8623.93	0.120173
8697.55	0.117635
8756.44	0.115102
8852.15	0.100015
8925.77	0.0874454
8992.02	0.0824021
9102.45	0.0798481
9161.35	0.0722999
9264.42	0.0622255
9323.31	0.0596931
9411.66	0.0546405
9477.91	0.0470893
9632.52	0.0344855
9558.90	0.0395319
9691.41	0.0319530
9875.46	0.0243526
9978.53	0.0192938
10030.1	0.0192723
